start_id,relation,end_id,year,role,source,confidence
Q10648,RELATED_TO,Q84,,P937,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q1190223,RELATED_TO,Q163310,,P279,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q1190223,RELATED_TO,Q7251,,P138,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q1191836,RELATED_TO,Q1190223,,P279,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q1191836,RELATED_TO,Q7251,,P138,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q123885,LOCATED_IN,Q84,,,https://www.wikidata.org/ (entity subgraph),0.82
Q133854517,RELATED_TO,Q7251,,P61,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q1527413,RELATED_TO,Q7251,,P138,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q163310,RELATED_TO,Q20895949,,P10695,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q163310,RELATED_TO,Q7251,,P61,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q163310,RELATED_TO,Q7251,,P138,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q174193,RELATED_TO,Q84,,P36,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q183,RELATED_TO,Q30,,P530,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q183,RELATED_TO,Q41,,P530,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q183,RELATED_TO,Q668,,P530,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q189223,RELATED_TO,Q7251,,P61,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q189223,RELATED_TO,Q7251,,P138,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q189223,RELATED_TO,Q772056,,P1343,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q197970,RELATED_TO,Q7251,,P138,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q20895930,RELATED_TO,Q20895935,,P26,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q20895930,RELATED_TO,Q7251,,P40,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q20895935,RELATED_TO,Q20895930,,P26,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q20895935,RELATED_TO,Q7251,,P40,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q20895966,INTRODUCES,Q179310,,,https://www.wikidata.org/,0.80
Q21,RELATED_TO,Q84,,P13574,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q21,RELATED_TO,Q84,,P36,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q21578,LOCATED_IN,Q30,,,https://www.wikidata.org/ (entity subgraph),0.82
Q21693479,AFFILIATED_WITH,Q2278254,,,https://www.wikidata.org/ (entity subgraph),0.82
Q21693479,RELATED_TO,Q7251,,P451,https://www.wikidata.org/ (isolated-node enrich aggressive),0.84
Q2278254,LOCATED_IN,Q586895,,,https://www.wikidata.org/ (entity subgraph),0.82
